STT,Ma_nganh,Ten_nganh
1,BF-E12,"Kỹ thuật thực phẩm (Chương trình tiên tiến)"
2,BF-E19,"Kỹ thuật sinh học (Chương trình tiên tiến)"
3,BF1,"Kỹ thuật Sinh học"
4,BF2,"Kỹ thuật Thực phẩm"
5,CH-E11,"Kỹ thuật Hóa dược (Chương trình tiên tiến)"
6,CH-E20,"Hóa học Mỹ phẩm (Chương trình tiên tiến)"
7,CH1,"Kỹ thuật Hóa học"
8,CH2,"Hóa học"
9,ED2,"Công nghệ giáo dục"
10,ED3,"Quản lý giáo dục"
11,ED5,"Tâm lý học công nghiệp và tổ chức"
12,EE-E18,"Hệ thống điện và năng lượng tái tạo (Chương trình tiên tiến)"
13,EE-E8,"Kỹ thuật Điều khiển - Tự động hóa (Chương trình tiên tiến)"
14,EE-EP,"Tin học công nghiệp và Tự động hóa (Chương trình Việt-Pháp PFIEV)"
15,EE1,"Kỹ thuật điện"
16,EE2,"Kỹ thuật Điều khiển - Tự động hóa"
17,EM-E13,"Phân tích kinh doanh (Chương trình tiên tiến)"
18,EM-E14,"Logistics và Quản lý chuỗi cung ứng (Chương trình tiên tiến)"
19,EM-E17,"Kế toán (Chương trình tiên tiến)"
20,EM1,"Quản lý năng lượng"
21,EM2,"Quản lý công nghiệp"
22,EM3,"Quản trị kinh doanh"
23,EM5,"Tài chính - Ngân hàng"
24,ET-E16,"Truyền thông số và Kỹ thuật đa phương tiện (Chương trình tiên tiến)"
25,ET-E4,"Kỹ thuật Điện tử - Viễn thông (Chương trình tiên tiến)"
26,ET-E5,"Kỹ thuật Y sinh (Chương trình tiên tiến)"
27,ET-E9,"Hệ thống nhúng thông minh và IoT (Chương trình tiên tiến)"
28,ET-LUH,"Điện tử-Viễn thông - ĐH Leibniz Hannover (Đức)"
29,ET1,"Điện tử và Viễn thông"
30,ET2,"Kỹ thuật Y sinh"
31,EV1,"Kỹ thuật Môi trường"
32,EV2,"Quản lý Tài nguyên và Môi trường"
33,FL1,"Tiếng Anh Khoa học Kỹ thuật và Công nghệ"
34,FL2,"Tiếng Anh Chuyên nghiệp Quốc tế"
35,FL3,"Tiếng Trung Khoa học và Công nghệ"
36,FL4,"Tiếng Hàn Khoa học và Công nghệ"
37,HE1,"Kỹ thuật Nhiệt"
38,IT-E10,"Khoa học Dữ liệu và Trí tuệ Nhân tạo"
39,IT-E15,"An toàn không gian số (Chương trình tiên tiến)"
40,IT-E6,"Công nghệ thông tin (Việt-Nhật) (Chương trình tiên tiến)"
41,IT-E7,"Công nghệ thông tin (Global ICT)"
42,IT-EP,"Công nghệ thông tin (Việt-Pháp) (Chương trình tiên tiến)"
43,IT1,"CNTT: Khoa học Máy tính"
44,IT2,"CNTT: Kỹ thuật máy tính"
45,ME-E1,"Kỹ thuật Cơ điện tử (Chương trình tiên tiến)"
46,ME-GU,"Cơ khí - Chế tạo máy - ĐH Griffith (Úc)"
47,ME-LUH,"Cơ điện tử - ĐH Leibniz Hannover (Đức)"
48,ME-NUT,"Cơ điện tử - ĐH Nagaoka (Nhật Bản)"
49,ME1,"Kỹ thuật Cơ điện tử"
50,ME2,"Kỹ thuật Cơ khí"
51,MI-E22,"Khoa học tính toán cho các hệ thống thông minh (CTTT)"
52,MI1,"Toán - Tin"
53,MI2,"Hệ thống thông tin quản lý"
54,MS-E3,"Khoa học và Kỹ thuật Vật liệu (Chương trình tiên tiến)"
55,MS1,"Kỹ thuật Vật liệu"
56,MS2,"Chương trình Kỹ thuật vi điện tử và công nghệ Nano"
57,MS3,"Công nghệ vật liệu polyme và compozit"
58,MS5,"Kỹ thuật in"
59,PH1,"Vật lý kỹ thuật"
60,PH2,"Kỹ thuật hạt nhân"
61,PH3,"Vật lý Y khoa"
62,TE-E2,"Kỹ thuật Ô tô (Chương trình tiên tiến)"
63,TE-EP,"Cơ khí hàng không (Chương trình Việt - Pháp PFIEV)"
64,TE1,"Kỹ thuật Ô tô"
65,TE2,"Kỹ thuật Cơ khí động lực"
66,TE3,"Kỹ thuật Hàng không"
67,TROY-BA,"Quản trị kinh doanh - ĐH Troy (Hoa Kỳ)"
68,TROY-IT,"Khoa học máy tính - ĐH Troy (Hoa Kỳ)"
69,TX1,"Công nghệ Dệt May"
